ARTISTA,TITULO,DURACION
ATTICA REVOLUTION,GIMME SOME LOVE,00:03:14
BAKER BROTHERS,ONCE I HAD A FRIEND,00:04:12
DAWN PENN,"NO, NO, NO",00:04:00
DANI NEL-LO,MERCY,00:02:54
THE BLUEBEATERS,TOXIC,00:03:18
THE MIGHTY MEGATONS,ATOMIC BOMB,00:02:46
THE FUZILLIS,PIZZA SURE IS GOOD,00:02:22
MFC CHICKEN,LUCILLE (LIVE),00:02:06
ROBERT GORDON,ROCK BILLY BOOGIE,00:02:35
LOS CHICOS,TREAT HER RIGHT,00:03:09
MAMBO JAMBO ARKESTRA,EL TIMO,00:03:11
LOS FULANOS,BLUE MONDAY,00:03:28
LONDON AFROBEAT COLLECTIVE,POWER TO THE WOMEN,00:04:19
ESKORZO AFROBEAT EXPERIENCE,ROFOROFO FIGHT,00:03:49
SARAVAH SOUL,FIRE,00:03:36
TRIO VALORE,REHAB,00:03:15
The Sound Stylistics,THE PLAYER'S THEME,00:04:47
KOKOLO,SOUL POWER,00:03:05
SARAVAH SOUL,SUPERSOSSEGO (INSTRUMENTAL),00:04:54
BABY CHARLES,I BET YOU LOOK GOOD ON THE DANCEFLOOR ,00:04:31
R de RUMBA & PORCEL ,GORDO FUNK,00:03:29
HIPNOTIK ORCHESTRA,AFYER 4 pm,00:03:52
DOJO CUTS,UPTIGHT,00:03:25
THE NEW MASTERSOUNDS,CAN YOU GET IT (REMIX),00:02:47
MARTHA HIGH & DJ TONER,WE ARE ONE,00:03:22
ANDY COOPER & DJ FORMAT,GET ON THAT (RE-LAYERED),00:03:29
BREAKESTRA,LITTLE MISS FUNKY SOLE,00:04:40
FLOYD LAWSON & THE HEARTS OF STONE,AIR I BREATH,00:03:48
POWER TO THE PEOPLE,POWER TO THE PEOPLE,00:04:31
Pelomono,La Danza de la Cobra,00:03:54
The Trash-Tornados,Psychotic Reaction,00:03:25
Doctor Explosion,"Soy un Truhán, Soy un Señor",00:03:52
Daddy Long Legs,Evi Eye,00:03:49
Guadalupe Plata ,Sácalo Sácalo,00:01:19
MFC Chicken ,Lucille,00:02:43
The Fuzillis,Dear Dad,00:01:51
The Sanitizers,Ee-no-cu-lashon,00:01:59
The Beat From Plookaville,Sinner Not A Saint,00:03:08
THE RIGHT ONS,I'M WAITING FOR THE MAN,00:03:30
Sir Bald Diddley & His Ripcurls,Hipsville,00:02:38
The Barbwires,The Biggest Wave,00:02:15
Mike Barbwire & 13th Magic Skull,Night Terror,00:03:21
The Phantom Dragsters,Kosmokrator (Destination Venus),00:01:33
Imperial Surfers ,Twichin´,00:02:02
The Schizophonics,Black to Comm,00:03:22
Sir Coyler & His Asthmatic Band,Invincible Blues,00:02:13
ATOMIC SUPLEX,Who Do You Love?,00:02:09
The Rythm Shakers ,Shake your Hips,00:03:55
Junior Marvel,Marijuana Boogie,00:03:24
Almon Loos & The Hoop n´Hollers,Gettin´Loos,00:02:58
Robert Gordon,ROCK BILLY BOOGIE,00:02:34
Status Quo ,Caroline,00:04:19
Imperial State Electric,Messin' With The Kid (Junior Wells cover),00:03:10
Electric Frankenstein,Can't keep a bad man down,00:02:49
The Objects,(Are You) Still Movin´?,00:03:27
The Hives,Walk Idiot Walk,00:03:41
Los Chicos,Wreckin´Rome,00:03:34
Los Ronaldos,Siesta de alcohol ,00:03:45
Los Deltonos,Nadie Me Conoce,00:02:44
The Government,The Pusherman (Curtis Mayfield Cover),00:03:15
Terbutalina,Orujo/Brujeria,00:02:09
Fundacion Francisco Frankenstein,Voy a Ser un Drogata,00:02:33
Thee Wylde Oscars,Funny As A Heart Attack,00:02:54
King Gizzard & The Lizzard Wizard,The Wholly Ghost,00:03:15
Black Lips,In & Out,00:02:11
The Mystery Lights ,Thick Skin,00:02:35
Coyote Men,White Lightning,00:03:15
Wau y los Arrrghs!!!,It´s Great,00:03:06
Los Glurps!!,La Criatura,00:02:18
Jay Reatard,Blood Visions,00:01:31
La Moto de Fernan,Chica Joven,00:01:55
Thee Blind Crows ,Voodoo rhythm,00:01:56
Aerobitch,What You're Gonna Do,00:01:25
Pelomono,La Danza de la Cobra,00:03:53
The Flowerz,Flyte,00:02:27
Johnny's Uncalled Four ,Please Say,00:02:40
We The People,My Brother The Man,00:02:10
Wead,By The Whey,00:02:20
Ruperts People,hold on,00:03:31
The Mystery Lights,Follow Me Home,00:03:20
The Phantom Keys ,Turn Black,00:02:27
The Ar-Kaics,Just My Life,00:02:56
Lyres,How Do You Know,00:03:14
The Satelliters,Lost In Time,00:03:09
The Carpet Sellers,Picture Of Mind,00:02:30
Thee Vicars ,You Lie,00:02:19
Pow Pow Pows,Apocalipsis matinal,00:02:39
Fogbound,Edward Devine,00:03:17
The Embrooks,Nightmare,00:03:13
The Rhubarb Triangle,67 Guilford Street,00:04:24
The Smoggers,"Please, Never Change",00:02:33
Wau y los Arrrghs,It's Great,00:03:06
Doctor Explosion,Sucio Roberto,00:02:04
The Woggles,Los Angeles No Nitseimatsuri,00:03:00
Los Chavales,Viajare,00:02:50
Sister Cookie & The Soulful Orchestra,Where is my money,00:03:08
The Cavemen Five,Sorry 'Bout That,00:02:01
THE SANITIZERS,"Kiss Me, I'm Vaccinated",00:02:58
The Fuzillis,Dear Dad,00:01:50
Chandler and The Chasers,Promise Land,00:02:50
Hipbone Slim & The Kneetremblers,Show Me,00:02:43
Robert Gordon,Rock Billy Boogie,00:02:33
Stray Cats,Rock This Town,00:02:44
The HiTones,Night Of Love,00:02:30
La Perra Blanco,My teeth are falling,00:02:20
Breakin' Bones,Straight To Hell,00:02:10
Aullido Atómico,El Tren Negro (Tiny Bradshow Cover),00:02:10
The Rhythm Shakers,Shake your Hips,00:03:55
Luis & the Wildfires,No me trates mal (Baby Please Don't Go),00:02:15
Bloodshot Bill,You Want It,00:02:16
Juke Boy Barkus & Baldie McGhee,Take Five - (Hound Dog Taylor),00:01:55
Mike Sanchez & the Limboos,Just a Game,00:02:44
Los Straitjackets & Big Sandy,Big Sandy To The Rescue,00:02:40
The Dragtones,Scream/Gritar,00:02:42
The Objects,Are You (Still Movin'),00:03:30
Los Chicos,Wreckin Rome (feat. Johnny Casino),00:03:54
Las Munjitas del Fuzz,Mala Mujer,00:02:15
LOS GLURPS,No Estoy Muerto ,00:01:54
Autoramas,Carinha Triste,00:02:52
The Master Plan,Find Something Beautiful,00:02:42
Doctor Explosión,Young Blood,00:01:29
The Schizophonics,In Mono,00:03:50
Sir Coyler and His Asthmatic Band,Invincible Blues,00:02:12
Fundación Francisco Frankenstein,Voy a Ser un Drogata,00:02:32
Los Perlas,Heroina,00:02:20
Nave Nodriza,Amor de mierda,00:01:51
La Moto de Fernan,Los Hijos del Metrakit,00:01:40
JD McPherson,Fire bug,00:02:31
The Kongsmen,You are bound to look like a monkey when you grow old,00:02:17
The Woggles,True kings of Tock & Soul,00:02:57
Muck and the Mires,Take me back to Planet Earth,00:02:46
MFC Chicken,Luciile,00:02:06
The Fuzillis,Pizza sure is good,00:02:21
The Dustaphonics,De puta madre,00:02:21
Los Wavy Gravies,Silly Sally,00:01:53
Los Smoggers,You´ll really go,00:03:51
Las Munjitas del Fuzz,Pecado,00:02:15
Dead Faces,Likwe faces often do,00:01:22
Doctor Explosion,Sucio Roberto,00:02:05
The Mortals,Atomic Cocktail,00:01:53
The Makers,The Jerome tree,00:02:18
Los Chicos,Wrecking Rome,00:03:34
Lupers,Haz el Trump,00:01:56
Fundacion Francsco Frankenstein,Voy a ser un drogata,00:02:33
Los Retumbes,Cansado de esperar,00:01:58
Gene Taylor,The golden rule,00:03:39
Mike Sanchez & The Limboos,Just a game,00:02:45
The Milestones,You can't make love to somebody,00:03:02
Hipbone Slim and the Kneetremblers,The twitch,00:02:20
The Cowslingers,"Strip bars, liqueur and fireworks",00:01:57
Southern Culture on the Skids,Moonshine martinis,00:01:53
Hombre Lobo Internacional,Shake that ass for me,00:02:03
The Beat From Palookaville,Sinner not a saint,00:03:07
The Brand New Heavies,Getaway,00:03:32
RdeRumba & Porcel ,Viva el funk,00:04:02
Sweet Vandals,Feel alive,00:04:06
Power To The People,Power To The People,00:04:31
Fundacion Tony Manero,T.F.P (Tropical Funky President),00:04:35
Breakestra ,Lowdon stank,00:06:42
Marlena Shaw,California Soul,00:02:58
Linda Lyndell ,What a man,00:02:42
ETTA JAMES ,STEAL AWAY,00:02:24
Carol Ford,Your Well Run Dry,00:02:39
ke & Tina Turner,Get It - Get It! ,00:03:35
Otis Redding,Hard To Handle,00:02:17
Little Sonny ,Stretchin Out,00:02:57
James Brown ,The Chicken,00:02:49
Willy Wright And His Sparkles,"Gibble, Gobble (R&B Hipshakers vol 1)",00:02:19
Perry & The Harmonics,Do The Monkey With James,00:02:56
The Valentines,That´s It Man (R&B Hipshakers vol 1),00:02:49
The El-Cobras,Oh Yeah (Twistin´Rumble vol. 2),00:02:06
The James Hunter Six,Talkin' 'Bout My Love ,00:03:50
The Ambertones,Cruise (Twistin´Rumble vol. 2),00:02:07
Barbara Lynn,You Don't Sleep At Night,00:02:25
Nick Ashford,I Don't Need No Doctor (Twistin´Rumble vol. 1),00:02:25
Hank Ballard,What´s Your Name (R&B Hipshakers vol 2),00:02:33
Lula Reed · Freddy King,You Can't Hide (R&B Hipshakers vol 4),00:03:03
Little Richard ,Rip It Up,00:02:20
Koko-Jean & The Tonics · Dani Nel·lo,She Put a Spell on Me,00:02:19
Lewis Clark ,DOG (Ain't A Man's Best Friend) (Dowtown Soulville),00:02:20
Junior Wells,Girl You Lit My Fire,00:02:01
Johnny Sayles,I Can't Get Enough (Dowtown Soulville),00:02:30
Jackie Lee,The Duck,00:02:23
Floyd Smith,Soul Strut (Dowtown Soulville),00:02:41
Rufus Thomas,(Do the) Push and Pull (Part 1),00:03:15
The Emperors,Karate,00:02:35
Marsha Gee,Peanut Duck,00:02:40
Chuck Edwards,Downtown Soulville (Dowtown Soulville),00:02:23
Little Milton,Grits Ain't Groceries (All Around The World),00:02:42
Chubby Checker,Karate Monkey,00:02:46
Jr. Walker & The All Stars,Pucker Up Buttercup,00:03:16
100 Proof Aged in Soul,Somebody's Been Sleeping in My Bed,00:04:14
Sam & Dave ,Soul Man,00:02:36
Stevie Wonder ,You Cant JUdge A Book By Its Cover,00:02:34
Salt,I Can´t Believe,00:02:27
Bobby Powell,Question '71 ,00:02:44
Cornelius Brothers & Sister Rose,Treat Her Like A Lady,00:02:41
Ripple,I Dont Know What It Is But Sure Is Funky,00:03:27
Lyn Collins,Think (About It),00:03:25
Martha High,Answer to Mother Popcorn,00:03:28
James Brown ,(Let A MAn Come In And) Do The Popcorn,00:03:16
Maceo and the Macs,Parrty (Part 1.),00:03:23
EXPLOSIONS WITH JUANITA BROOKS,Garden Of Four Trees,00:02:42
The Isley Brothers,I Know Who You Been Sockin It To,00:02:44
Chuck Carbo and The Soul Finders,Can I Be Your Squeeze?,00:02:27
All the People feat. Robert Moore,Cramp Your Style,00:02:16
The Bar-Kays,Sang And Dance,00:02:58
Sly & The Family Stone,Dance To THe Music,00:03:01
THE PC'S LTD.,Fast Man (booty man),00:02:42
Joseph Henry ,Who´s The King,00:03:04
The Fantastics !,Soul Child,00:03:57
The Poets of Rhythm,Practice What You Preach,00:03:27
Speedometer,Work It Out ,00:03:08
JC Brooks ,Get It Together,00:03:00
The Sweet Vandals,Feel Alive,00:04:16
The Agapornis,Down By The River,00:04:19
Marta Ren & The Groovelvets,I'm Not Your Regular Woman,00:02:50
The New Mastersounds · Corinne Bailey Rae,Your Love Is Mine,00:04:01
Sharon Jones & the Dap-Kings,Matter of Time,00:03:25
Cookin´On Three Burners,Settle The Score,00:04:03
Third Coast Kings,Just Move,00:03:42
Dojo Cuts,Uptight (feat. Roxie Ray),00:03:25
Gizelle Smith,June,00:03:33
The Baker Brothers,Once i had a friend,00:04:09
ANAUT,BLACK IS BLACK,00:03:44
The Cherry Boppers,El Patético,00:03:42
Sven Hammond ft. Sherry Dyanne,Spinning Out,00:03:25
Breakestra,Lowdown Stank,00:06:42
Brand New Heavies,Getaway,00:03:31
Ottis Reading,Try A Little Tenderness,00:03:20
Carol Ford ,Your Well Run Dry,00:02:21
ETTA JAMES ,Somewthing´s got a hold on me,00:02:49
MFC Chcicken & Sister Cookie,I Just WAnt To Make Love To You,00:02:57
Jo Ann & Troy,Who Do You Love,00:02:03
The Trippers,Keep on Knockin´,00:02:05
Ray Chares,I don´t need no doctor,00:02:33
Otis Redding,shake,00:02:30
Marlena Shaw,Let´s Wade In The Water,00:02:58
Della Reese ,It Was A Very Good Year,00:03:21
? & The Misterians,I Cant´t Get Enough of You Baby,00:02:05
Mia Vergara ,Mr Doctor,00:02:37
The Limboos,I need your Lovin,00:04:00
Paul Wayne ,That´s Allright,00:01:47
Tito Ramirez,La Bellaquera,00:03:00
Manny Bowsman feat. Tito Ramirez,El Golpe,00:02:42
Sister Cookie,Where Is My Money,00:03:08
The JBs,The Rabbit Got The Gun,00:02:48
James Brown ,The Popcron,00:03:07
James Brown ,Get Up I Fell Like A Sex Machine,00:02:36
The Boogaloo Investigators,Let´s Work A While,00:03:32
Baby Charles,The Dance Floor,00:04:31
Binky Griptite,The Stroll,00:03:08
Sharon Jones,Got To Be The Way It Is,00:03:08
Saravah Soul,Nao Posso Te Levar Ao Serio,00:04:21
Breakestra,"Deuces Up, Double Down",00:04:36
The Cherry Boppers,Yo No necesito un Doctor,00:03:42
The Right Ons ,I´m Waiting For The Man,00:03:30
Little Emmet Sutton,You Teach To Monkey,00:02:48
King Solomon,New Figure,00:02:48
Marlena Shaw,Wade IN The Water,00:02:58
Marvin & Johnny,Baby You Are The One,00:02:33
Harvey Fuqua,Ant WAy You Wanta,00:02:47
Mel Torrmé,Comin´Home Baby,00:02:46
LaBrenda Ben,The Chaperone,00:02:44
Charles Sheffield,It´s Your Voodoo Workin,00:01:49
Della Reese,It Was A Very Good Year,00:03:21
Marlena Shaw,Let´s WAde In The Water,00:03:25
Larry Davis,I´ve Been Hurt So Many Times,00:03:15
Arthur K Adams,Let Your Hair Down,00:02:45
Jimmy Holiday,The New Breed,00:02:38
Big Mama Thornton,Me And My Chauffeur,00:02:30
Booker T,Take Off Your Shoes (Pt 2),00:03:11
Sandy Nelson,The Charge,00:02:03
The Meters,Sing A Simple Song,00:03:06
R de Rumba & Porcel,Viva El Funk,00:04:02
Funkadelic,Hit It And Quit It,00:03:52
Saravah Soul,Fire,00:03:36
The Cherry Boppers,Black Lolita,00:03:19
Sound Stylistics,Player´s Theme,00:04:47
Paul Revere & The Riders,Good Thing,00:03:05
The Kingsmen,Louie Louie,00:02:46
Lady Dottie & The Diamonds,Have Love Will Travel,00:03:05
MFC Chicken,Lucille,00:02:05
The Fuzillis ,Pizza Sure Is Good,00:02:39
Los Wavy Gravies,Silly Sally,00:01:54
Sir Bald y Los Hairies,Rock & Roll is Gonna Kill You,00:02:09
The Kaisers,Monkey Train,00:02:14
Sir Bald Diddley And His Ripcurls,Hipsville,00:02:39
Los Sencillos,Flamenco,00:02:01
Andres Do Barro ,A Rapaciña Chora,00:02:18
Ian Kay,The Clown,00:03:22
Los Moustros ,Dame Un Poco De Tu Amor,00:02:42
Los Canarios,Get On Your Knees,00:02:31
Los retrovisores,Me Olvide De Ti,00:04:08
Eli Paperboy Reed ,Ace Of Spades,00:02:43
Mambo Jambo Arkestra,El Timo,00:03:10
La Perra Blanco ,Rock Me Babe,00:02:49
Nikki Hill,Strapped To The Beat,00:02:59
JD McPherson,Fire Bug,00:02:31
Junior Marvel,Marijuana Boogie,00:03:28
Luis & the Wildfires,No me trates mal (Baby Please Don't Go),00:02:16
The Wead,By The Way,00:02:30
Knickerbockers,Lies,00:02:47
The Leaves,Hey Joe,00:02:53
The Count Five,Psychotic Reaction,00:03:06
Peawees,Don´t Look Back,00:02:10
The Vicars ,You Lie,00:02:19
Los Glurps,Gentleman,00:03:06
Doctor Explosion,Eres Feo Chaval,00:02:08
Las Munjitas del Fuzz,Es El 69,00:02:11
Autoramas,Carinha Triste,00:02:53
The Dragtones,Devil Inside,00:02:40
The Routes ,I Tried So Hard,00:02:48
Schizophonics,Black To Comm,00:03:22
Thee Blind Crows,Do The JUngle,00:02:04
Nave Nodriza ,Amor de Mierda,00:01:52
La Moto De Fernan,Chica Joven,00:01:55
Sandre,Presion,00:02:57
Private Function,I´m This Far Away Of Being The Worse...,00:01:46
Amyl &. The Sniffers,I Got You,00:02:21
Lupers,Haz El Trump,00:01:56
Fundacion Francisco Frankenstein,Voy A Ser Un Drogata,00:02:33
Terbutalina,Goodbye Neuronas,00:02:05
Enamorados,Chaqueta De Cuero,00:02:16
Lie Detectors,Pinchalo,00:03:19
Los Perlas,Hola Mi Amor,00:02:44
D.M.B.K,Las Leyes De La Frontera,00:03:44
Loose Lips,One More Chance,00:02:27
Model Rockets,Calling Panther Lake,00:02:31
The Government,Pusherman,00:03:16
Imperial State Electric,Messin´With TRhe KId,00:03:10
Los Deltonos,Soy Un Hombre Enfermo,00:02:44
Tino Casal,Eloise,
Al Green,Call Me (Come Back Home),00:03:03
Linda Lyndell ,What a man (Super Breaks vol. 1),00:02:42
Little Emmet Sutton,You Teach To Monkey (R&B Hipshakers vol 1),00:02:48
King Solomon,New Figure (New Breed R&B),00:02:48
Carol Ford,Your Well Run Dry (R&B Hipshakers vol 1),00:02:39
Marvin & Johnny,Baby You Are The One (New Breed),00:02:33
Harvey Fuqua,Ant WAy You Wanta (Northern Soul All Nighter),00:02:47
Mel Torrmé,Comin´Home Baby (Northern Soul All Nighter),00:02:46
LaBrenda Ben,The Chaperone (Northern Soul All Nighter),00:02:44
Charles Sheffield,It´s Your Voodoo Workin (Northern Soul All Nighter),00:01:49
Eddie Floyd,Knock On Wood,00:03:09
The Four Tops,Reach Out I'll Be There,00:02:53
Wilson Pickett,Mini Skirt Minnie,00:02:59
Joe Tex,We Can't Sit Down Now (Various – Hits & Soul 7),00:03:43
Aretha Franklin,Satisfaction,00:02:40
Larry Davis,I´ve Been Hurt So Many Times (New Breed R&B),00:03:15
Arthur K Adams,Let Your Hair Down (New Breed R&B),00:02:45
Percy Sledge ,Put A Lovin´On Me,00:02:42
Solomon Burke,Save It (Hits & Soul 5),00:02:23
Garland Green,I've Quit Running the Streets ,00:02:55
Four Tops,Love (Is The Answer),00:02:26
Tom Jones,Dance of Love (Tom Jones),00:02:23
The Ossie Layne Show,Higher and Higher (Sensacional Soul vol. 2),00:03:57
Little Milton,Grits ain`t groceries,00:02:42
Jimmy Holiday,The New Breed (New Breed R&B),00:02:38
Leslie Uggams,"River Deep, Mountain High (Various – Hits & Soul 5)",00:02:47
Booker T,Take Off Your Shoes (Pt 2) (New Breed R&B),00:03:11
Sir Mack Rice,Love's A Mother Brother,00:02:25
The Mightt Hannibal,Good Time,00:02:50
The Capitols,"Soul Brother, Soul Sister (Hits & Soul 7)",00:02:54
Arthur Conley ,	Funky Street,00:02:26
All the People feat. Robert Moore,Cramp Your Style (Super Breaks vol. 2),00:02:16
Sam Mosley,You've Got It,00:02:34
Baby Charles,Back of My Hand,00:03:42
